ID	forma	cite	rank
166332	ἐσάντα	urn:cts:greekLit:tlg0012.tlg002:16.458	26
167608	ὡς	urn:cts:greekLit:tlg0012.tlg002:17.126	1
168040	χέρειον	urn:cts:greekLit:tlg0012.tlg002:17.176	5
169217	τραπεζῆες	urn:cts:greekLit:tlg0012.tlg002:17.309	27
169863	θέσπιν	urn:cts:greekLit:tlg0012.tlg002:17.385	29
170024	τοιοῦτον	urn:cts:greekLit:tlg0012.tlg002:17.403	4
171120	πίονι	urn:cts:greekLit:tlg0012.tlg002:17.526	11
171200	πίονας	urn:cts:greekLit:tlg0012.tlg002:17.535	19
171993	πολύμητις	urn:cts:greekLit:tlg0012.tlg002:18.14	7
172290	ἔσω	urn:cts:greekLit:tlg0012.tlg002:18.49	11
174437	ἀῤ	urn:cts:greekLit:tlg0012.tlg002:18.293	3
175408	δαιτὸς	urn:cts:greekLit:tlg0012.tlg002:18.403	10
181341	πάντα	urn:cts:greekLit:tlg0012.tlg002:2.55	7
181421	καὶ	urn:cts:greekLit:tlg0012.tlg002:2.64	2
184845	πολέος	urn:cts:greekLit:tlg0012.tlg002:20.25	6
188241	ᾧ	urn:cts:greekLit:tlg0012.tlg002:21.27	30
189945	σύ	urn:cts:greekLit:tlg0012.tlg002:21.234	2
193364	πολύτλας	urn:cts:greekLit:tlg0012.tlg002:22.191	38
196217	ὡς	urn:cts:greekLit:tlg0012.tlg002:23.27	19
196296	ὡς	urn:cts:greekLit:tlg0012.tlg002:23.36	20
198022	ὡς	urn:cts:greekLit:tlg0012.tlg002:23.233	1
201092	πολύτλας	urn:cts:greekLit:tlg0012.tlg002:24.232	6
201280	βασιλῆϊ	urn:cts:greekLit:tlg0012.tlg002:24.253	1
201456	ξεινήϊα	urn:cts:greekLit:tlg0012.tlg002:24.273	22
202272	ἀμφίπολος	urn:cts:greekLit:tlg0012.tlg002:24.366	8
202338	αἰειγενετάων	urn:cts:greekLit:tlg0012.tlg002:24.373	10
204190	οἱ	urn:cts:greekLit:tlg0012.tlg002:3.34	1
204266	τοῦ	urn:cts:greekLit:tlg0012.tlg002:3.44	1
204700	ἀλλ̓	urn:cts:greekLit:tlg0012.tlg002:3.97	11
205283	ὃδὴ	urn:cts:greekLit:tlg0012.tlg002:3.166	16
205468	κοὐδέ	urn:cts:greekLit:tlg0012.tlg002:3.187	15
205904	οὐ	urn:cts:greekLit:tlg0012.tlg002:3.236	7
206030	ἀλλά	urn:cts:greekLit:tlg0012.tlg002:3.251	7
211314	̓"̓		1
212001	καὶ	urn:cts:greekLit:tlg0012.tlg002:4.453	4
212093	;̓		4
216541	ᾧ	urn:cts:greekLit:tlg0012.tlg002:5.126	8
219217	ὡς	urn:cts:greekLit:tlg0012.tlg002:5.432	1
219715	πολύτλας	urn:cts:greekLit:tlg0012.tlg002:5.486	5
225963	ὡς	urn:cts:greekLit:tlg0012.tlg002:8.49	9
226209	θαλείῃ	urn:cts:greekLit:tlg0012.tlg002:8.76	39
227730	οἷσι	urn:cts:greekLit:tlg0012.tlg002:8.251	16
228900	ὡς	urn:cts:greekLit:tlg0012.tlg002:8.389	7
229400	πολύτλας	urn:cts:greekLit:tlg0012.tlg002:8.446	6
229644	πολύμητις	urn:cts:greekLit:tlg0012.tlg002:8.474	5
230015	Δηιφόβοιο	urn:cts:greekLit:tlg0012.tlg002:8.517	13
234689	ἄρκον	urn:cts:greekLit:tlg0012.tlg002:9.483	31
